_ProductID,Product Name,Category,Brand
1,4-Slice Toaster,Home Appliances,Kelston
2,12-Cup Coffee Maker,Home Appliances,Kelston
3,Stand Mixer 5.5Qt,Home Appliances,Kelston
4,Air Fryer 6L,Home Appliances,Bravora
5,Microwave Oven 900W,Home Appliances,Bravora
6,Countertop Blender,Home Appliances,Kelston
7,Robot Vacuum Cleaner,Home Appliances,Nimbus
8,Upright Vacuum Cleaner,Home Appliances,Nimbus
9,Electric Kettle 1.7L,Home Appliances,Kelston
10,Space Heater 1500W,Home Appliances,Bravora
11,55-inch 4K Smart TV,Electronics,Vantix
12,43-inch LED TV,Electronics,Vantix
13,Soundbar with Subwoofer,Electronics,Vantix
14,Wireless Bluetooth Headphones,Electronics,Pulsewave
15,Noise-Cancelling Earbuds,Electronics,Pulsewave
16,Bluetooth Speaker,Electronics,Pulsewave
17,Smart Home Hub,Electronics,Nimbus
18,Security Camera (Indoor),Electronics,Nimbus
19,Tablet 10-inch,Electronics,Vantix
20,Laptop 14-inch,Electronics,Vantix
21,Wireless Router,Electronics,Pulsewave
22,3-Seater Fabric Sofa,Furniture,Oakwell
23,Recliner Armchair,Furniture,Oakwell
24,Queen Bed Frame,Furniture,Oakwell
25,6-Drawer Dresser,Furniture,Oakwell
26,Dining Table Set (4-Seat),Furniture,Cedarline
27,Office Desk,Furniture,Cedarline
28,Ergonomic Office Chair,Furniture,Cedarline
29,Bookshelf 5-Tier,Furniture,Oakwell
30,Nightstand,Furniture,Cedarline
31,12-Piece Cookware Set,Kitchen & Dining,Hearthstone
32,Cutlery Set 20-Piece,Kitchen & Dining,Hearthstone
33,Non-Stick Frying Pan,Kitchen & Dining,Hearthstone
34,Dinnerware Set 16-Piece,Kitchen & Dining,Porcelane
35,Glass Storage Container Set,Kitchen & Dining,Porcelane
36,Stainless Steel Cookware Pot,Kitchen & Dining,Hearthstone
37,Patio Dining Set,Outdoor & Garden,Greenridge
38,Gas Grill 3-Burner,Outdoor & Garden,Greenridge
39,Garden Tool Set,Outdoor & Garden,Greenridge
40,Outdoor Lounge Chair,Outdoor & Garden,Greenridge
41,Charcoal Grill,Outdoor & Garden,Greenridge
42,Electric Toothbrush,Personal Care,Purelume
43,Hair Dryer 1900W,Personal Care,Purelume
44,Digital Bathroom Scale,Personal Care,Purelume
45,Desk Lamp LED,Office & Stationery,Cedarline
46,Filing Cabinet 3-Drawer,Office & Stationery,Cedarline
47,Paper Shredder,Office & Stationery,Cedarline
